c1.medium	2
c1.xlarge	8
c3.2xlarge	8
c3.4xlarge	16
c3.8xlarge	32
c3.large	2
c3.xlarge	4
cc2.8xlarge	32
cg1.4xlarge	16
cr1.8xlarge	32
d2.2xlarge	8
d2.4xlarge	16
d2.8xlarge	36
d2.xlarge	4
g2.2xlarge	8
hi1.4xlarge	16
hs1.8xlarge	16
i2.2xlarge	8
i2.4xlarge	16
i2.8xlarge	32
i2.xlarge	4
m1.large	2
m1.medium	1
m1.small	1
m1.xlarge	4
m2.2xlarge	4
m2.4xlarge	8
m2.xlarge	2
m3.2xlarge	8
m3.large	2
m3.medium	1
m3.xlarge	4
r3.2xlarge	8
r3.4xlarge	16
r3.8xlarge	32
r3.large	2
r3.xlarge	4
t1.micro	1
t2.medium	2
t2.micro	1
t2.small	1
